id,nombre,foto
1,Daniel Scioli,scioli.png
2,Sergio Massa,massa.png
3,Mauricio Macri,macri.png
4,Florencio Randazzo,randazzo.png
5,Julio Cobos,cobos.png
6,Hermes Binner,binner.png
7,Jorge Altamira,altamira.png
8,Elisa Carrio,carrio.png
9,Ernesto Sanz,sanz.png
